"PassengerId","Survived","Pclass","Sex","Age"
836,1,1,"female",39
679,0,3,"female",43
129,1,3,"female",NA
509,0,3,"male",28
471,0,3,"male",NA
299,1,1,"male",NA
270,1,1,"female",35
187,1,3,"female",NA
307,1,1,"female",NA
597,1,2,"female",NA
277,0,3,"female",45
874,0,3,"male",47
494,0,1,"male",71
330,1,1,"female",16
775,1,2,"female",54
841,0,3,"male",20
591,0,3,"male",35
725,1,1,"male",27
37,1,3,"male",NA
105,0,3,"male",37
729,0,2,"male",25
485,1,1,"male",25
677,0,3,"male",24.5
802,1,2,"female",31
382,1,3,"female",1
601,1,2,"female",24
801,0,2,"male",34
852,0,3,"male",74
326,1,1,"female",36
878,0,3,"male",19
554,1,3,"male",22
422,0,3,"male",21
111,0,1,"male",47
404,0,3,"male",28
532,0,3,"male",NA
506,0,1,"male",18
556,0,1,"male",62
343,0,2,"male",28
582,1,1,"female",39
121,0,2,"male",21
40,1,3,"female",14
684,0,3,"male",14
537,0,1,"male",45
375,0,3,"female",3
248,1,2,"female",24
198,0,3,"male",42
378,0,1,"male",27
39,0,3,"female",18
435,0,1,"male",50
810,1,1,"female",33
390,1,2,"female",17
280,1,3,"female",35
672,0,1,"male",31
526,0,3,"male",40.5
642,1,1,"female",24
45,1,3,"female",19
402,0,3,"male",26
22,1,2,"male",34
718,1,2,"female",27
742,0,1,"male",36
193,1,3,"female",19
371,1,1,"male",25
499,0,1,"female",25
104,0,3,"male",33
863,1,1,"female",48
767,0,1,"male",NA
492,0,3,"male",21
616,1,2,"female",24
615,0,3,"male",35
465,0,3,"male",NA
525,0,3,"male",NA
808,0,3,"female",18
871,0,3,"male",26
176,0,3,"male",18
345,0,2,"male",36
791,0,3,"male",NA
110,1,3,"female",NA
84,0,1,"male",28
29,1,3,"female",NA
141,0,3,"female",NA
252,0,3,"female",29
733,0,2,"male",NA
620,0,2,"male",26
304,1,2,"female",NA
545,0,1,"male",50
557,1,1,"female",48
661,1,1,"male",50
287,1,3,"male",30
614,0,3,"male",NA
145,0,2,"male",18
329,1,3,"female",31
487,1,1,"female",35
630,0,3,"male",NA
498,0,3,"male",NA
619,1,2,"female",4
576,0,3,"male",19
490,1,3,"male",9
736,0,3,"male",28.5
103,0,1,"male",21
316,1,3,"female",26
